primary,descriptor2,descriptor3,노트,색상/이미지,계절,온도/습도,날씨,시간대,장소/상황,감정/분위기,normalized_tags,계열,예시_향수,hex_palette_from_colors
Woody,Patchouli,Terpenic,Woody,브라운 (+다크그린/브라운),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, patchouli, terpenic",,,
Floral,Muguet,Aldehydic,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, muguet, aldehydic",,,
Herbal,Pine,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, minty",Green/Herbal,,
Floral,Woody,Balsamic,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, woody, balsamic",,,
Herbal,Lavender,Pine,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, lavender, pine",Green/Herbal,,
Citrus,Rose,Green,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+로즈핑크)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, rose, green",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Fruity,Jasmin,Oily,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, jasmin, oily",,,
Fruity,Pineapple,Mango,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, pineapple, mango",,,
Fruity,Tropical-Fruit,Citrus,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, tropical-fruit, citrus",,,
Sulfurous,Garlic,Onion,Sulfurous,옐로우/그레이,특정용도,자극/특수,특수/실험,특정,테이스팅랩,실험/독특,"sulfurous, garlic, onion",,,
Fruity,Citrus,Green,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, citrus, green",,,
Herbal,Hay,Oak,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, hay, oak",Green/Herbal,,
Ozonic,Fresh,Aldehydic,Ozonic,스카이블루,봄/여름,시원한/청량,바람/청명,낮,해안/고지대,청명/클린,"ozonic, fresh, aldehydic",,,
Aldehydic,Green,Floral,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, green, floral",,,
Aldehydic,Fresh,Green,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, fresh, green",,,
Gourmand,Sweet,Vanilla,Gourmand,베이지/크림 (+크림아이보리),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, vanilla",,,
Gourmand,Vanilla,Creamy,Gourmand,베이지/크림 (+크림아이보리),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, vanilla, creamy",,,
Herbal,Pine,Citrus,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, citrus",Green/Herbal,,
Earthy,Phenolic,Musty,Earthy,카키,가을,건조/따뜻한,비온뒤/흙,저녁,산책로/숲,내추럴/안정,"earthy, phenolic, musty",,,
Smoky,Phenolic,Coffee,Smoky,차콜,가을/겨울,따뜻한/건조,모닥불/안개,밤,캠프/바,무드/시크,"smoky, phenolic, coffee",,,
Green,Violet,Cucumber,Green,"leafy green, 그린 (+보라, 라이트그린)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, violet, cucumber",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Lavender,Green,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, lavender, green",Green/Herbal,,
Woody,Floral,Celery,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, floral, celery",,,
Herbal,Aromatic,Citrus,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, aromatic, citrus",Green/Herbal,,
Balsamic,Spicy,Cinnamon,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, spicy, cinnamon",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Citrus,Fresh,Floral,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, floral",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Spicy,Floral,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, spicy, floral",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Citrus,Lemon,Fresh,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, fresh",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Floral,Sweet,Fruity,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, fruity",,,
Green,Apple,Herbal,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, apple, herbal",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Pine,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, woody",Green/Herbal,,
Green,Fruity,Apple,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, apple",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Apple,Banana,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, apple, banana",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Fruity,Apple,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, apple",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Green,Fruity,Apple,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, apple",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Banana,Tropical-Fruit,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, banana, tropical-fruit",,,
Green,Hay,Apple,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, hay, apple",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Citrus,Waxy,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, citrus, waxy",,,
Floral,Green,Geranium,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, geranium",,,
Floral,Spicy,Woody,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, spicy, woody",,,
Spicy,Sweet,Aromatic,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, sweet, aromatic",,,
Green,Leathery,Tobacco,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, leathery, tobacco",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Musk like,Balsamic,Powdery,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, balsamic, powdery",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Floral,Sweet,Citrus,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, citrus",,,
Citrus,Bergamot,Lime,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+라임옐로우, 라임그린)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, bergamot, lime",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Balsamic,Spicy,Fruity,Balsamic,"호박색, 갈색, 황갈색, 앰버","가을, 겨울, 가을/겨울",따뜻한/수지향,수지/따뜻,"저녁, 밤, 저녁/밤","벽난로 옆, 도서관, 라운지, 사원/숲","안정감, sophisticated, 따뜻함, 깊이/안온","balsamic, spicy, fruity",Woody,"Diptyque Tam Dao, Hermès Terre d’Hermès, Le Labo Santal 33","#FFC107, #795548, #D2B48C"
Floral,Ylang,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, ylang, green",,,
Floral,Fruity,Ylang,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, ylang",,,
Fruity,Pineapple,Tropical-Fruit,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, pineapple, tropical-fruit",,,
Fruity,Fresh,Green,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, fresh, green",,,
Fruity,Sweet,Peach,Fruity,오렌지/레드 (+피치/살구),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, peach",,,
Citrus,Lemon,Verbena,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, verbena",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Fruity,Banana,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, banana, pineapple",,,
Fruity,Sweet,Fermented,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, fermented",,,
Fruity,Green,Grape,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, grape",,,
Green,Herbal,Floral,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, herbal, floral",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Woody,Sandalwood,Camphoraceous,Woody,브라운 (+크리미베이지),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, sandalwood, camphoraceous",,,
Aldehydic,Floral,Marine,Aldehydic,화이트 (+딥블루),사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, floral, marine",,,
Citrus,Floral,Waxy,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, floral, waxy",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Green,Phenolic,Dairy,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, phenolic, dairy",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Herbal,Lavender,Fruity,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, lavender, fruity",Green/Herbal,,
Musk like,Powdery,Animal Like,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, powdery, animal like",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Herbal,Green,Fruity,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, green, fruity",Green/Herbal,,
Musk like,Animal Like,Soft,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, animal like, soft",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Floral,Sweet,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, green",,,
Citrus,Fresh,Floral,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, fresh, floral",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Herbal,Fresh,Lemongrass,Herbal,"vivid green, 그린 (+리몬옐로우)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fresh, lemongrass",Green/Herbal,,
Floral,Sweet,Green,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, green",,,
Green,Floral,Aldehydic,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, floral, aldehydic",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Oily,Waxy,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, oily, waxy",,,
Fruity,Rose,Geranium,Fruity,오렌지/레드 (+로즈핑크),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, rose, geranium",,,
Spicy,Warm,Leathery,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, warm, leathery",,,
Woody,Floral,Amber,Woody,브라운 (+앰버골드),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, floral, amber",,,
Herbal,Fruity,Minty,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, fruity, minty",Green/Herbal,,
Floral,Green,Muguet,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, muguet",,,
Floral,Fruity,Pear,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, pear",,,
Fruity,Oily,Pear,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, oily, pear",,,
Herbal,Green,Floral,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, green, floral",Green/Herbal,,
Floral,Green,Fruity,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, green, fruity",,,
Herbal,Minty,Eucalyptus,Herbal,"vivid green, 그린 (+민트)","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, minty, eucalyptus",Green/Herbal,,
Herbal,Pine,Fruity,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, pine, fruity",Green/Herbal,,
Fruity,Ethereal,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, ethereal, pineapple",,,
Fruity,Powdery,Raspberry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, powdery, raspberry",,,
Aldehydic,Floral,Rose,Aldehydic,화이트 (+로즈핑크),사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, floral, rose",,,
Fruity,Green,Anisic,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, green, anisic",,,
Green,Citrus,Oily,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, citrus, oily",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Musk like,Powdery,Fruity,Musk like,"검정, dark 갈색, 아이보리","가을, 겨울, 사계절/가을",포근/부드러움,포근/은은,"저녁, 밤, 종일/저녁","갤러리, 사무실, whisky 바, 홈/데일리","대담함, 강렬함, 관능적임, 스킨/포근","musk like, powdery, fruity",Leather/Animalic,"Acqua di Parma Leather, Memo Irish Leather, Tom Ford Tuscan Leather",#000000
Woody,Orris,Amber,Woody,브라운 (+앰버골드),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, orris, amber",,,
Floral,Violet,Woody,Floral,핑크/화이트 (+보라),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, violet, woody",,,
Citrus,Lemon,Verbena,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, verbena",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Floral,Rose,Green,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, rose, green",,,
Floral,Marine,Citrus,Floral,핑크/화이트 (+딥블루),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, marine, citrus",,,
Aromatic,Pine,Waxy,Aromatic,"vivid green, 그린/블루","봄, 여름, 봄/여름",상쾌/허브,맑음,낮,"balcony, kitchen 정원, 허브가든","fresh, lively, 허벌/밸런스","aromatic, pine, waxy",Green/Herbal,,
Floral,Neroli,Grape,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, neroli, grape",,,
Minty,Herbal,Menthol,Minty,"허브 초록, 라벤더색, 민트","봄, 여름, 여름",차가운,선선/그늘,"낮, 저녁","herb 정원, 스파, 스포츠/아웃도어","깨끗함, 집중됨, relaxing, 쿨/리프레시","minty, herbal, menthol",Aromatic/Herbal,,"#4CAF50, #B57EDC"
Fruity,Sweet,Raspberry,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, sweet, raspberry",,,
Green,Pear,Grape,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, pear, grape",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Valerian,Floral,Fruity,오렌지/레드,봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, valerian, floral",,,
Fruity,Apple,Pineapple,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apple, pineapple",,,
Green,Fruity,Lavender,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, lavender",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Fruity,Apple,Sweet,Fruity,오렌지/레드 (+애플그린/레드),봄/여름,중성/달달,맑음,낮/오후,캐주얼/모임,밝음/달콤,"fruity, apple, sweet",,,
Green,Cucumber,Fatty,Green,"leafy green, 그린 (+라이트그린)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, cucumber, fatty",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Floral,Aromatic,Rose,Floral,핑크/화이트 (+로즈핑크),봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, aromatic, rose",,,
Citrus,Lemon,Rose,Citrus,"연한 초록, 주황, 노랑, 라임/옐로우 (+로즈핑크, 리몬옐로우)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","brunch, outdoor, 테라스, 야외/산책","energetic, sparkling, 기분 좋음, 상쾌/활기","citrus, lemon, rose",Fresh/Citrus,"Acqua di Parma Colonia, Chanel Chance Eau Fraîche, Dior Homme Cologne","#AED581, #FF9800, #FFEB3B"
Herbal,Lavender,Fresh,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, lavender, fresh",Green/Herbal,,
Gourmand,Sweet,Tonka,Gourmand,베이지/크림,가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, sweet, tonka",,,
Floral,Spicy,Carnation,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, spicy, carnation",,,
Floral,Sweet,Citrus,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, sweet, citrus",,,
Green,Fruity,Fresh,Green,"leafy green, 그린","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, fresh",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
Gourmand,Caramel,Nutty,Gourmand,베이지/크림 (+카라멜브라운),가을/겨울,따뜻한/달달,카페/실내,오후/밤,카페/디저트,편안/달달,"gourmand, caramel, nutty",,,
Herbal,Earthy,Woody,Herbal,"vivid green, 그린","봄, 여름, 봄/여름",상쾌/허브,초록/햇살,낮,"balcony, kitchen 정원, 피크닉","fresh, lively, 프레시/그린","herbal, earthy, woody",Green/Herbal,,
Woody,Dry,Amber,Woody,브라운 (+앰버골드),가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, dry, amber",,,
Spicy,Cinnamon,Tonka,Spicy,번트오렌지,가을/겨울,따뜻한,따뜻/실내,저녁,바/레스토랑,따뜻/에너지,"spicy, cinnamon, tonka",,,
Floral,Fruity,Gardenia,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, fruity, gardenia",,,
Woody,Herbal,Pine,Woody,브라운,가을/겨울,따뜻한,흐림/실내,저녁/밤,갤러리/바,차분/고급,"woody, herbal, pine",,,
Aldehydic,Citrus,Green,Aldehydic,화이트,사계절/봄,깨끗한/중성,빨래한날/쾌청,종일,세탁한날/오피스,클린/단정,"aldehydic, citrus, green",,,
Floral,Muguet,Soft,Floral,핑크/화이트,봄,중성/부드러움,화창,낮/오후,데이트/모임,우아/로맨틱,"floral, muguet, soft",,,
Green,Fruity,Apple,Green,"leafy green, 그린 (+애플그린/레드)","봄, 여름, 봄/여름",시원한/상쾌,맑음,"낮, 아침","정원, 초원, 공원, 공원/정원","깨끗함, crisp, 자연스러움, 청량/맑음","green, fruity, apple",Green,"Balmain Vent Vert, Chanel No.19, Diptyque Eau de Lierre",
